2 00:00 00000 180	2 00:00 00000 170	2 00:00 00000 170	
2 06:00 21600 180	2 06:00 21600 170	2 06:00 21600 170	
2 06:00 21600 220	2 06:00 21600 200	2 06:00 21600 200	
2 18:00 64800 220	2 18:00 64800 200	2 18:00 64800 200	
2 18:00 64800 180	2 18:00 64800 170	2 18:00 64800 170	
2 18:10 65400 180	2 18:10 65400 170	2 18:10 65400 170	
2 18:20 66000 180	2 18:20 66000 170	2 18:20 66000 170	
2 18:30 66600 180	2 18:30 66600 170	2 18:30 66600 170	
2 18:40 67200 180	2 18:40 67200 170	2 18:40 67200 170	
2 18:50 67800 180	2 18:50 67800 170	2 18:50 67800 170	
2 19:00 68400 180	2 19:00 68400 170	2 19:00 68400 170	
2 23:50 85800 180	2 23:50 85800 170	2 23:50 85800 170	

4 00:00 00000 180	4 00:00 00000 170	4 00:00 00000 170	
4 06:00 21600 180	4 06:00 21600 170	4 06:00 21600 170	
4 06:00 21600 220	4 06:00 21600 200	4 06:00 21600 200	
4 18:00 64800 220	4 18:00 64800 200	4 18:00 64800 200	
4 18:00 64800 180	4 18:00 64800 170	4 18:00 64800 170	
4 18:10 65400 180	4 18:10 65400 170	4 18:10 65400 170	
4 18:20 66000 180	4 18:20 66000 170	4 18:20 66000 170	
4 18:30 66600 180	4 18:30 66600 170	4 18:30 66600 170	
4 18:40 67200 180	4 18:40 67200 170	4 18:40 67200 170	
4 18:50 67800 180	4 18:50 67800 170	4 18:50 67800 170	
4 19:00 68400 180	4 19:00 68400 170	4 19:00 68400 170	
4 23:50 85800 180	4 23:50 85800 170	4 23:50 85800 170	

5 00:00 00000 180	5 00:00 00000 170	5 00:00 00000 170	
5 06:00 21600 180	5 06:00 21600 170	5 06:00 21600 170	
5 06:00 21600 220	5 06:00 21600 200	5 06:00 21600 200	
5 18:00 64800 220	5 18:00 64800 200	5 18:00 64800 200	
5 18:00 64800 180	5 18:00 64800 170	5 18:00 64800 170	
5 18:10 65400 180	5 18:10 65400 170	5 18:10 65400 170	
5 18:20 66000 180	5 18:20 66000 170	5 18:20 66000 170	
5 18:30 66600 180	5 18:30 66600 170	5 18:30 66600 170	
5 18:40 67200 180	5 18:40 67200 170	5 18:40 67200 170	
5 18:50 67800 180	5 18:50 67800 170	5 18:50 67800 170	
5 19:00 68400 180	5 19:00 68400 170	5 19:00 68400 170	
5 23:50 85800 180	5 23:50 85800 170	5 23:50 85800 170	

6 00:00 00000 180	6 00:00 00000 170	6 00:00 00000 170	
6 06:00 21600 180	6 06:00 21600 170	6 06:00 21600 170	
6 06:00 21600 220	6 06:00 21600 200	6 06:00 21600 200	
6 18:00 64800 220	6 18:00 64800 200	6 18:00 64800 200	
6 18:00 64800 180	6 18:00 64800 170	6 18:00 64800 170	
6 18:10 65400 180	6 18:10 65400 170	6 18:10 65400 170	
6 18:20 66000 180	6 18:20 66000 170	6 18:20 66000 170	
6 18:30 66600 180	6 18:30 66600 170	6 18:30 66600 170	
6 18:40 67200 180	6 18:40 67200 170	6 18:40 67200 170	
6 18:50 67800 180	6 18:50 67800 170	6 18:50 67800 170	
6 19:00 68400 180	6 19:00 68400 170	6 19:00 68400 170	
6 23:50 85800 180	6 23:50 85800 170	6 23:50 85800 170	

7 00:00 00000 180	7 00:00 00000 170	7 00:00 00000 170	
7 06:00 21600 180	7 06:00 21600 170	7 06:00 21600 170	
7 06:00 21600 220	7 06:00 21600 200	7 06:00 21600 200	
7 18:00 64800 220	7 18:00 64800 200	7 18:00 64800 200	
7 18:00 64800 180	7 18:00 64800 170	7 18:00 64800 170	
7 18:10 65400 180	7 18:10 65400 170	7 18:10 65400 170	
7 18:20 66000 180	7 18:20 66000 170	7 18:20 66000 170	
7 18:30 66600 180	7 18:30 66600 170	7 18:30 66600 170	
7 18:40 67200 180	7 18:40 67200 170	7 18:40 67200 170	
7 18:50 67800 180	7 18:50 67800 170	7 18:50 67800 170	
7 19:00 68400 180	7 19:00 68400 170	7 19:00 68400 170	
7 23:50 85800 180	7 23:50 85800 170	7 23:50 85800 170	
